lat,lon,year,AGB,NDVI,soil_clay,soil_sand,soil_silt,groundwater_depth,total_precipitation,peatland_fraction,elevation,clay,sand,silt,elev,peat,annual_precip,rzm,elevation_peat,precip_clay_interaction,Hydraulic_Stress,clay_median,sand_median,silt_median,elev_median,peat_median,clay_median.1,sand_median.1,silt_median.1,elev_median.1,peat_median.1,clay_median.2,sand_median.2,silt_median.2,elev_median.2,peat_median.2,clay_median,sand_median,silt_median,elev_median,peat_median
-2.541666667,111.9583333,1993,65.59501402,0.6867356300354004,369.0,280.0,353.0,,2915.452949523926,3.2985629272564907,25.0,369,280,353,25,3.2985629272564907,1993,1993,82.46407318141226,735417,0.9994984954864594,"{'_idx': 0, 'median': 369, 'year': 1993}","{'_idx': 0, 'median': 280, 'year': 1993}","{'_idx': 0, 'median': 353, 'year': 1993}","{'_idx': 0, 'median': 25, 'year': 1993}","{'_idx': 0, 'median': 3.2985629272564907, 'year': 1993}","{'_idx': 0, 'median': 369, 'year': 1993}","{'_idx': 0, 'median': 280, 'year': 1993}","{'_idx': 0, 'median': 353, 'year': 1993}","{'_idx': 0, 'median': 25, 'year': 1993}","{'_idx': 0, 'median': 3.2985629272564907, 'year': 1993}","{'_idx': 0, 'median': 369, 'year': 1993}","{'_idx': 0, 'median': 280, 'year': 1993}","{'_idx': 0, 'median': 353, 'year': 1993}","{'_idx': 0, 'median': 25, 'year': 1993}","{'_idx': 0, 'median': 3.2985629272564907, 'year': 1993}","{'_idx': 0, 'median': 369, 'year': 1993}","{'_idx': 0, 'median': 280, 'year': 1993}","{'_idx': 0, 'median': 353, 'year': 1993}","{'_idx': 0, 'median': 25, 'year': 1993}","{'_idx': 0, 'median': 3.2985629272564907, 'year': 1993}"
-2.541666667,111.9583333,1994,60.98251909,0.736608624,369.0,280.0,353.0,,2624.599528312683,3.2985629272564907,25.0,369,280,353,25,3.2985629272564907,1994,1994,82.46407318141226,735786,0.9994987468671679,"{'_idx': 1, 'median': 369, 'year': 1994}","{'_idx': 1, 'median': 280, 'year': 1994}","{'_idx': 1, 'median': 353, 'year': 1994}","{'_idx': 1, 'median': 25, 'year': 1994}","{'_idx': 1, 'median': 3.2985629272564907, 'year': 1994}","{'_idx': 1, 'median': 369, 'year': 1994}","{'_idx': 1, 'median': 280, 'year': 1994}","{'_idx': 1, 'median': 353, 'year': 1994}","{'_idx': 1, 'median': 25, 'year': 1994}","{'_idx': 1, 'median': 3.2985629272564907, 'year': 1994}","{'_idx': 1, 'median': 369, 'year': 1994}","{'_idx': 1, 'median': 280, 'year': 1994}","{'_idx': 1, 'median': 353, 'year': 1994}","{'_idx': 1, 'median': 25, 'year': 1994}","{'_idx': 1, 'median': 3.2985629272564907, 'year': 1994}","{'_idx': 1, 'median': 369, 'year': 1994}","{'_idx': 1, 'median': 280, 'year': 1994}","{'_idx': 1, 'median': 353, 'year': 1994}","{'_idx': 1, 'median': 25, 'year': 1994}","{'_idx': 1, 'median': 3.2985629272564907, 'year': 1994}"
-2.541666667,111.9583333,1995,60.0375193,0.7366493344306946,369.0,280.0,353.0,,3164.1510622501373,3.2985629272564907,25.0,369,280,353,25,3.2985629272564907,1995,1995,82.46407318141226,736155,0.999498997995992,"{'_idx': 2, 'median': 369, 'year': 1995}","{'_idx': 2, 'median': 280, 'year': 1995}","{'_idx': 2, 'median': 353, 'year': 1995}","{'_idx': 2, 'median': 25, 'year': 1995}","{'_idx': 2, 'median': 3.2985629272564907, 'year': 1995}","{'_idx': 2, 'median': 369, 'year': 1995}","{'_idx': 2, 'median': 280, 'year': 1995}","{'_idx': 2, 'median': 353, 'year': 1995}","{'_idx': 2, 'median': 25, 'year': 1995}","{'_idx': 2, 'median': 3.2985629272564907, 'year': 1995}","{'_idx': 2, 'median': 369, 'year': 1995}","{'_idx': 2, 'median': 280, 'year': 1995}","{'_idx': 2, 'median': 353, 'year': 1995}","{'_idx': 2, 'median': 25, 'year': 1995}","{'_idx': 2, 'median': 3.2985629272564907, 'year': 1995}","{'_idx': 2, 'median': 369, 'year': 1995}","{'_idx': 2, 'median': 280, 'year': 1995}","{'_idx': 2, 'median': 353, 'year': 1995}","{'_idx': 2, 'median': 25, 'year': 1995}","{'_idx': 2, 'median': 3.2985629272564907, 'year': 1995}"
-2.541666667,111.9583333,1996,59.79502139,0.8269712924957275,369.0,280.0,353.0,,3016.043040037155,3.2985629272564907,25.0,369,280,353,25,3.2985629272564907,1996,1996,82.46407318141226,736524,0.99949924887331,"{'_idx': 3, 'median': 369, 'year': 1996}","{'_idx': 3, 'median': 280, 'year': 1996}","{'_idx': 3, 'median': 353, 'year': 1996}","{'_idx': 3, 'median': 25, 'year': 1996}","{'_idx': 3, 'median': 3.2985629272564907, 'year': 1996}","{'_idx': 3, 'median': 369, 'year': 1996}","{'_idx': 3, 'median': 280, 'year': 1996}","{'_idx': 3, 'median': 353, 'year': 1996}","{'_idx': 3, 'median': 25, 'year': 1996}","{'_idx': 3, 'median': 3.2985629272564907, 'year': 1996}","{'_idx': 3, 'median': 369, 'year': 1996}","{'_idx': 3, 'median': 280, 'year': 1996}","{'_idx': 3, 'median': 353, 'year': 1996}","{'_idx': 3, 'median': 25, 'year': 1996}","{'_idx': 3, 'median': 3.2985629272564907, 'year': 1996}","{'_idx': 3, 'median': 369, 'year': 1996}","{'_idx': 3, 'median': 280, 'year': 1996}","{'_idx': 3, 'median': 353, 'year': 1996}","{'_idx': 3, 'median': 25, 'year': 1996}","{'_idx': 3, 'median': 3.2985629272564907, 'year': 1996}"
-2.541666667,111.9583333,1997,57.0450105,0.6708093285560608,369.0,280.0,353.0,,2037.5988364219663,3.2985629272564907,25.0,369,280,353,25,3.2985629272564907,1997,1997,82.46407318141226,736893,0.9994994994994995,"{'_idx': 4, 'median': 369, 'year': 1997}","{'_idx': 4, 'median': 280, 'year': 1997}","{'_idx': 4, 'median': 353, 'year': 1997}","{'_idx': 4, 'median': 25, 'year': 1997}","{'_idx': 4, 'median': 3.2985629272564907, 'year': 1997}","{'_idx': 4, 'median': 369, 'year': 1997}","{'_idx': 4, 'median': 280, 'year': 1997}","{'_idx': 4, 'median': 353, 'year': 1997}","{'_idx': 4, 'median': 25, 'year': 1997}","{'_idx': 4, 'median': 3.2985629272564907, 'year': 1997}","{'_idx': 4, 'median': 369, 'year': 1997}","{'_idx': 4, 'median': 280, 'year': 1997}","{'_idx': 4, 'median': 353, 'year': 1997}","{'_idx': 4, 'median': 25, 'year': 1997}","{'_idx': 4, 'median': 3.2985629272564907, 'year': 1997}","{'_idx': 4, 'median': 369, 'year': 1997}","{'_idx': 4, 'median': 280, 'year': 1997}","{'_idx': 4, 'median': 353, 'year': 1997}","{'_idx': 4, 'median': 25, 'year': 1997}","{'_idx': 4, 'median': 3.2985629272564907, 'year': 1997}"
-2.541666667,111.9583333,1998,57.02251532,0.4456168413162231,369.0,280.0,353.0,,3673.5040807724,3.2985629272564907,25.0,369,280,353,25,3.2985629272564907,1998,1998,82.46407318141226,737262,0.9994997498749375,"{'_idx': 5, 'median': 369, 'year': 1998}","{'_idx': 5, 'median': 280, 'year': 1998}","{'_idx': 5, 'median': 353, 'year': 1998}","{'_idx': 5, 'median': 25, 'year': 1998}","{'_idx': 5, 'median': 3.2985629272564907, 'year': 1998}","{'_idx': 5, 'median': 369, 'year': 1998}","{'_idx': 5, 'median': 280, 'year': 1998}","{'_idx': 5, 'median': 353, 'year': 1998}","{'_idx': 5, 'median': 25, 'year': 1998}","{'_idx': 5, 'median': 3.2985629272564907, 'year': 1998}","{'_idx': 5, 'median': 369, 'year': 1998}","{'_idx': 5, 'median': 280, 'year': 1998}","{'_idx': 5, 'median': 353, 'year': 1998}","{'_idx': 5, 'median': 25, 'year': 1998}","{'_idx': 5, 'median': 3.2985629272564907, 'year': 1998}","{'_idx': 5, 'median': 369, 'year': 1998}","{'_idx': 5, 'median': 280, 'year': 1998}","{'_idx': 5, 'median': 353, 'year': 1998}","{'_idx': 5, 'median': 25, 'year': 1998}","{'_idx': 5, 'median': 3.2985629272564907, 'year': 1998}"
-2.541666667,111.9583333,1999,60.07751939,0.3427172005176544,369.0,280.0,353.0,,3279.838092327118,3.2985629272564907,25.0,369,280,353,25,3.2985629272564907,1999,1999,82.46407318141226,737631,0.9995,"{'_idx': 6, 'median': 369, 'year': 1999}","{'_idx': 6, 'median': 280, 'year': 1999}","{'_idx': 6, 'median': 353, 'year': 1999}","{'_idx': 6, 'median': 25, 'year': 1999}","{'_idx': 6, 'median': 3.2985629272564907, 'year': 1999}","{'_idx': 6, 'median': 369, 'year': 1999}","{'_idx': 6, 'median': 280, 'year': 1999}","{'_idx': 6, 'median': 353, 'year': 1999}","{'_idx': 6, 'median': 25, 'year': 1999}","{'_idx': 6, 'median': 3.2985629272564907, 'year': 1999}","{'_idx': 6, 'median': 369, 'year': 1999}","{'_idx': 6, 'median': 280, 'year': 1999}","{'_idx': 6, 'median': 353, 'year': 1999}","{'_idx': 6, 'median': 25, 'year': 1999}","{'_idx': 6, 'median': 3.2985629272564907, 'year': 1999}","{'_idx': 6, 'median': 369, 'year': 1999}","{'_idx': 6, 'median': 280, 'year': 1999}","{'_idx': 6, 'median': 353, 'year': 1999}","{'_idx': 6, 'median': 25, 'year': 1999}","{'_idx': 6, 'median': 3.2985629272564907, 'year': 1999}"
-2.541666667,111.9583333,2000,59.69502158,0.7862841486930847,369.0,280.0,353.0,,3281.704326152801,3.2985629272564907,25.0,369,280,353,25,3.2985629272564907,2000,2000,82.46407318141226,738000,0.9995002498750625,"{'_idx': 7, 'median': 369, 'year': 2000}","{'_idx': 7, 'median': 280, 'year': 2000}","{'_idx': 7, 'median': 353, 'year': 2000}","{'_idx': 7, 'median': 25, 'year': 2000}","{'_idx': 7, 'median': 3.2985629272564907, 'year': 2000}","{'_idx': 7, 'median': 369, 'year': 2000}","{'_idx': 7, 'median': 280, 'year': 2000}","{'_idx': 7, 'median': 353, 'year': 2000}","{'_idx': 7, 'median': 25, 'year': 2000}","{'_idx': 7, 'median': 3.2985629272564907, 'year': 2000}","{'_idx': 7, 'median': 369, 'year': 2000}","{'_idx': 7, 'median': 280, 'year': 2000}","{'_idx': 7, 'median': 353, 'year': 2000}","{'_idx': 7, 'median': 25, 'year': 2000}","{'_idx': 7, 'median': 3.2985629272564907, 'year': 2000}","{'_idx': 7, 'median': 369, 'year': 2000}","{'_idx': 7, 'median': 280, 'year': 2000}","{'_idx': 7, 'median': 353, 'year': 2000}","{'_idx': 7, 'median': 25, 'year': 2000}","{'_idx': 7, 'median': 3.2985629272564907, 'year': 2000}"
-2.541666667,111.9583333,2001,63.72501597,0.7884920835494995,369.0,280.0,353.0,,3161.283612728119,3.2985629272564907,25.0,369,280,353,25,3.2985629272564907,2001,2001,82.46407318141226,738369,0.9995004995004995,"{'_idx': 8, 'median': 369, 'year': 2001}","{'_idx': 8, 'median': 280, 'year': 2001}","{'_idx': 8, 'median': 353, 'year': 2001}","{'_idx': 8, 'median': 25, 'year': 2001}","{'_idx': 8, 'median': 3.2985629272564907, 'year': 2001}","{'_idx': 8, 'median': 369, 'year': 2001}","{'_idx': 8, 'median': 280, 'year': 2001}","{'_idx': 8, 'median': 353, 'year': 2001}","{'_idx': 8, 'median': 25, 'year': 2001}","{'_idx': 8, 'median': 3.2985629272564907, 'year': 2001}","{'_idx': 8, 'median': 369, 'year': 2001}","{'_idx': 8, 'median': 280, 'year': 2001}","{'_idx': 8, 'median': 353, 'year': 2001}","{'_idx': 8, 'median': 25, 'year': 2001}","{'_idx': 8, 'median': 3.2985629272564907, 'year': 2001}","{'_idx': 8, 'median': 369, 'year': 2001}","{'_idx': 8, 'median': 280, 'year': 2001}","{'_idx': 8, 'median': 353, 'year': 2001}","{'_idx': 8, 'median': 25, 'year': 2001}","{'_idx': 8, 'median': 3.2985629272564907, 'year': 2001}"
-2.541666667,111.9583333,2002,66.78251328,0.7393000000000001,369.0,280.0,353.0,,2437.0212223529816,3.2985629272564907,25.0,369,280,353,25,3.2985629272564907,2002,2002,82.46407318141226,738738,0.9995007488766849,"{'_idx': 9, 'median': 369, 'year': 2002}","{'_idx': 9, 'median': 280, 'year': 2002}","{'_idx': 9, 'median': 353, 'year': 2002}","{'_idx': 9, 'median': 25, 'year': 2002}","{'_idx': 9, 'median': 3.2985629272564907, 'year': 2002}","{'_idx': 9, 'median': 369, 'year': 2002}","{'_idx': 9, 'median': 280, 'year': 2002}","{'_idx': 9, 'median': 353, 'year': 2002}","{'_idx': 9, 'median': 25, 'year': 2002}","{'_idx': 9, 'median': 3.2985629272564907, 'year': 2002}","{'_idx': 9, 'median': 369, 'year': 2002}","{'_idx': 9, 'median': 280, 'year': 2002}","{'_idx': 9, 'median': 353, 'year': 2002}","{'_idx': 9, 'median': 25, 'year': 2002}","{'_idx': 9, 'median': 3.2985629272564907, 'year': 2002}","{'_idx': 9, 'median': 369, 'year': 2002}","{'_idx': 9, 'median': 280, 'year': 2002}","{'_idx': 9, 'median': 353, 'year': 2002}","{'_idx': 9, 'median': 25, 'year': 2002}","{'_idx': 9, 'median': 3.2985629272564907, 'year': 2002}"
